Код	"маркет bid"	"маркет cbid"	Кластер
68424	22	22	000
51827	26	26	000
23081	26	26	000
28946	26	26	000
22278	26	26	000
68422	21	21	000
24654	26	26	000
24660	26	26	000
23628	65	65	000
68664	23	23	000
68665	25	25	000
56003	27	27	000
25939	26	26	000
22484	27	27	000
62612	26	26	000
60647	26	26	000
55041	26	26	000
23398	26	26	000
46598	26	26	000
36604	26	26	000
40172	26	26	000
37448	26	26	000
25605	26	26	000
63037	26	26	000
25735	26	26	000
58401	66	66	000
69254	26	26	000
61885	25	25	000
28144	26	26	000
60958	26	26	000
23560	26	26	000
59404	26	26	000
53944	26	26	000
19166	27	27	000
56826	26	26	000
4419	28	28	000
23062	24	24	000
23300	26	26	000
58075	26	26	000
25295	26	26	000
57930	26	26	000
23288	25	25	000
22971	26	26	000
60294	26	26	000
67769	35	35	000
23036	26	26	000
63013	26	26	000
54147	32	32	000
20748	66	66	000
1788	27	27	000
63010	12	12	000
23399	24	24	000
23605	27	27	000
60841	27	27	000
62790	27	27	000
19160	27	27	000
12487	27	27	000
22308	69	69	000
23511	28	28	000
23051	25	25	000
24650	27	27	000
52182	27	27	000
25109	12	12	000
43520	27	27	000
58628	27	27	000
23042	27	27	000
24662	27	27	000
12543	24	24	000
37725	27	27	000
56924	27	27	000
59623	27	27	000
68627	27	27	000
12541	79	79	000
68413	22	22	000
46879	27	27	000
23076	29	29	000
61819	27	27	000
61849	27	27	000
55944	27	27	000
60645	28	28	000
67568	27	27	000
23064	29	29	000
22319	27	27	000
61259	23	23	000
22223	28	28	000
22300	28	28	000
22481	28	28	000
68269	23	23	000
44595	28	28	000
61673	28	28	000
22008	22	22	000
59397	28	28	000
63033	25	25	000
64338	69	69	000
22218	28	28	000
50732	28	28	000
6265	28	28	000
48003	28	28	000
55854	30	30	000
40413	28	28	000
59016	28	28	000
57009	28	28	000
40988	27	27	000
12598	27	27	000
31539	28	28	000
64339	69	69	000
12495	25	25	000
30898	28	28	000
